anio,pais,valor_cepal
1990,BOL,839.3268968215426
1991,BOL,902.2581325025408
1992,BOL,933.7643495379904
1993,BOL,930.1016029967416
1994,BOL,951.323422138992
1995,BOL,1048.002850377694
1996,BOL,1133.197774119275
1997,BOL,1192.212968540101
1998,BOL,1255.501006883124
1999,BOL,1201.930089276733
2000,BOL,1196.498307601751
2001,BOL,1139.92677564994
2002,BOL,1087.570642135409
2003,BOL,1092.559935047695
2004,BOL,1165.535956717727
2005,BOL,1246.973564278764
2006,BOL,1469.511998227172
2007,BOL,1655.567411259172
2008,BOL,2069.021947686125
2009,BOL,2112.358146627912
2010,BOL,2353.567594303496
2011,BOL,2822.882671668068
2012,BOL,3137.610381400309
2013,BOL,3494.346555364812
2014,BOL,3700.84887698625
2015,BOL,3643.526886245546
2016,BOL,3689.886914482986
2017,BOL,4016.216133594924
2018,BOL,4171.142927005058
2019,BOL,4165.355692252995
2020,BOL,3544.996236651395
2021,BOL,3963.565744010331
2022,BOL,4168.738962731706
2023,BOL,4224.868584133625
2024,BOL,4366.994292536579
